zipCode	feeType	isActive	juso
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 49-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 49-1 (오천면)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 50-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 51-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 52-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 53-0 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 53-1 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 54-1 (오천면어항출장소)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 54-2 (오천면)
33411	ISOLATED	TRUE	충청남도 보령시 고대도2길 54-3 (오천면어항출장소)
